nama makanan;kategori;harga;01/11/2024;02/11/2024;03/11/2024;04/11/2024;05/11/2024;06/11/2024;07/11/2024;07/11/2024;09/11/2024;10/11/2024;11/11/2024;12/11/2024;13/11/2024;14/11/2024;15/11/2024;16/11/2024;17/11/2024;18/11/2024;19/11/2024;20/11/2024;21/11/2024;22/11/2024;23/11/2024;24/11/2024;25/11/2024;26/11/2024;27/11/2024;28/11/2024;29/11/2024;30/11/2024;rata-rata penjualan per bulan;01/01/1900;02/12/2024;03/12/2024;04/12/2024;05/12/2024;06/12/2024;rata-rata penjualan per bulan
nasi goreng;nasi;33000;8;5;4;11;8;6;7;5;8;5;10;11;4;4;7;5;5;6;9;3;7;4;12;7;5;13;8;11;7;10;7;9;6;8;8;8;10;8
nasi goreng kepiting;nasi;65000;1;0;2;3;1;2;0;1;2;2;0;3;4;1;1;0;3;2;2;4;3;1;0;0;0;1;2;1;0;2;1;2;0;0;2;2;0;1
nasi goreng seafood;nasi;60000;4;2;2;3;0;4;3;1;1;0;3;0;2;2;1;1;2;4;3;0;1;1;1;1;0;0;2;1;1;3;2;0;1;1;2;1;1;1
nasi goreng mawut;nasi;36000;2;1;3;0;1;2;4;2;4;2;2;3;0;0;4;5;1;1;2;1;3;3;4;0;0;1;2;2;2;4;2;2;4;4;3;3;3;3
nasi goreng istimewa (ayam + kepiting);nasi;63000;1;2;1;4;2;3;5;0;2;4;1;0;3;3;2;0;1;2;1;2;2;2;4;5;3;1;0;0;2;2;2;2;3;3;3;2;2;3
mie goreng;mie;33000;2;4;6;7;3;2;6;3;5;6;5;2;1;1;7;4;2;3;1;6;4;4;1;2;2;2;0;0;4;8;3;4;7;6;6;5;5;6
mihun goreng;mie;33000;0;2;4;2;1;2;4;0;1;3;1;1;1;1;2;2;1;4;0;0;2;6;4;4;3;0;2;1;1;2;2;3;2;2;1;2;3;2
tamie capjay;mie;45000;0;0;2;1;2;1;3;1;2;2;2;2;1;3;0;0;4;4;2;0;1;2;2;1;2;3;3;3;2;1;2;2;4;4;0;2;2;2
misua;mie;33000;0;1;0;3;1;2;1;0;3;1;1;2;2;3;2;0;0;1;2;1;3;0;2;2;0;1;1;1;0;0;1;0;2;0;2;0;0;1
lomie;mie;45000;0;1;2;2;0;1;0;0;1;1;0;2;0;1;0;3;1;2;4;0;2;1;1;1;2;0;0;0;0;1;1;2;0;0;1;0;0;1
ayam goreng mentega;ayam;50000;2;3;1;1;0;1;2;2;4;3;3;5;7;1;2;6;3;3;5;3;4;4;5;6;6;2;4;7;8;4;4;4;5;6;4;4;4;5
ayam goreng tepung roti;ayam;65000;0;2;1;3;0;2;0;0;2;1;0;1;3;1;1;2;2;1;1;0;3;0;2;0;0;2;1;2;1;1;1;0;0;0;2;1;1;1
ayam goreng saos inggris;ayam;50000;1;2;4;0;1;3;1;1;4;2;2;2;0;1;5;3;4;1;1;2;0;0;2;3;1;1;2;3;4;4;2;0;3;4;0;2;2;2
koloke;ayam;68000;4;3;4;4;2;3;1;5;5;3;1;3;5;2;1;7;2;6;5;3;2;1;2;2;4;2;8;6;4;4;3;5;3;4;4;3;3;4
kwetiaw goreng;kwetiau;45000;2;2;0;2;1;2;0;2;3;3;0;1;2;5;3;4;0;2;1;1;1;3;4;1;2;0;5;3;2;2;2;2;4;3;0;3;3;3
kwetiaw siram;kwetiau;45000;1;0;0;3;1;2;1;1;3;2;3;2;2;3;4;1;2;2;3;2;2;0;1;5;1;5;4;3;2;2;2;1;3;2;2;2;3;2
kwetiaw goreng seafood;kwetiau;60000;0;0;1;1;2;0;2;1;1;0;0;0;2;2;1;0;3;0;0;1;0;2;1;1;2;0;0;0;0;1;1;0;0;0;2;0;0;0
udang goreng mentega;udang;88000;2;1;3;0;1;0;0;2;1;1;1;1;1;0;2;3;1;1;0;1;0;0;2;2;3;1;1;0;0;1;1;0;0;0;0;0;0;0
udang goreng tepung roti;udang;88000;0;2;2;1;1;0;1;1;1;0;0;2;2;3;0;2;1;1;1;2;0;0;0;0;2;1;3;1;2;1;1;0;0;2;0;0;0;0
fuyunghai kepiting;lain-lain;45000;3;4;4;1;2;1;2;2;2;4;4;3;1;2;0;7;4;3;2;5;7;4;2;1;0;3;3;4;4;5;3;2;3;4;3;2;2;3
capjay goreng;sayur;45000;3;2;4;2;1;3;1;2;8;7;5;4;4;6;4;1;2;0;1;1;1;0;0;2;4;4;1;1;2;0;3;4;6;6;7;5;6;6
total penjualan per hari;;;1773000;1931000;2510000;2546000;1453000;2011000;1974000;1635000;2982000;2411000;1912000;2344000;2552000;2256000;2203000;2819000;2235000;2428000;2219000;1935000;2178000;1659000;2385000;2187000;2196000;1959000;2666000;2382000;2307000;2708000;2202000;1981000;2458000;2724000;2415000;2118000;2177000;2435000
